,day,cumulative_infected,cumulative_infected_norm,type,type_pretty,vaccine_efficacy,prevalence,plot_type
14,15.0,61.17040000000003,0.21093241379310354,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
15,16.0,69.97399999999999,0.24128965517241377,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
16,17.0,81.19839999999996,0.27999448275862054,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
17,18.0,94.58520000000001,0.3261558620689656,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
18,19.0,108.5993,0.3744803448275862,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
19,20.0,123.29269999999997,0.42514724137931026,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
20,21.0,133.9079,0.4617513793103449,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
21,22.0,141.4469,0.4877479310344828,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
22,23.0,150.3527,0.5184575862068965,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
23,24.0,160.3427,0.5529058620689655,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
24,25.0,170.46300000000002,0.5878034482758622,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
25,26.0,180.4411,0.6222106896551725,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
26,27.0,190.14249999999998,0.6556637931034482,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
27,28.0,197.12220000000002,0.6797317241379311,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
28,29.0,201.9581,0.6964072413793103,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
29,30.0,207.012,0.7138344827586207,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
30,31.0,212.1704,0.7316220689655173,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
31,32.0,216.8918,0.7479027586206897,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
32,33.0,221.6272,0.764231724137931,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
33,34.0,225.9119,0.7790065517241379,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
34,35.0,228.9941,0.789634827586207,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
35,36.0,231.2065,0.7972637931034483,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
36,37.0,233.4029,0.8048375862068965,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
37,38.0,235.62720000000002,0.8125075862068966,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
38,39.0,237.7737,0.8199093103448275,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
39,40.0,239.75150000000002,0.8267293103448277,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
40,41.0,241.7014,0.8334531034482758,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
41,42.0,243.06220000000002,0.8381455172413794,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
42,43.0,244.0201,0.8414486206896552,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
43,44.0,245.014,0.8448758620689656,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
44,45.0,245.9698,0.848171724137931,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
45,46.0,246.7836,0.8509779310344828,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
46,47.0,247.56119999999999,0.8536593103448276,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
47,48.0,248.29059999999998,0.8561744827586206,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
48,49.0,248.8177,0.8579920689655173,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
49,50.0,249.19060000000002,0.8592779310344828,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
50,51.0,249.5293,0.8604458620689656,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
51,52.0,249.93,0.8618275862068966,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
52,53.0,250.32670000000002,0.8631955172413793,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
53,54.0,250.6633,0.8643562068965517,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
54,55.0,251.05020000000002,0.8656903448275862,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
55,56.0,251.3067,0.866574827586207,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
56,57.0,251.5111,0.8672796551724138,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
57,58.0,251.7415,0.8680741379310345,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
58,59.0,251.96,0.8688275862068966,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
59,60.0,252.19650000000001,0.8696431034482759,Total infected,0%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
60,1.0,9.999999997489795e-05,3.4482758612033774e-07,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
61,2.0,0.07619999999997162,0.00026275862068955735,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
62,3.0,0.37679999999994607,0.0012993103448274003,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
63,4.0,1.154299999999978,0.003980344827586131,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
64,5.0,2.6491999999999507,0.009135172413792933,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
65,6.0,5.134199999999964,0.01770413793103436,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
66,7.0,7.0120999999999185,0.024179655172413512,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
67,8.0,8.460899999999981,0.029175517241379244,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
68,9.0,11.6293,0.040101034482758625,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
69,10.0,17.206500000000062,0.05933275862068987,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
70,11.0,24.84370000000007,0.085667931034483,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
71,12.0,34.40470000000002,0.1186368965517242,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
72,13.0,45.9881,0.1585796551724138,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
73,14.0,54.426800000000014,0.1876786206896552,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
74,15.0,60.60309999999998,0.20897620689655166,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
75,16.0,69.1704,0.23851862068965518,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
76,17.0,80.26649999999998,0.27678103448275854,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
77,18.0,92.81549999999999,0.320053448275862,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
78,19.0,105.7996,0.3648262068965517,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
79,20.0,119.53510000000006,0.4121900000000002,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
80,21.0,129.16440000000006,0.44539448275862087,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
81,22.0,136.17030000000003,0.46955275862068974,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
82,23.0,144.04,0.49668965517241376,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
83,24.0,152.93370000000002,0.5273575862068967,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
84,25.0,162.18649999999997,0.5592637931034482,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
85,26.0,171.20639999999997,0.590366896551724,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
86,27.0,179.8678,0.6202337931034483,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
87,28.0,185.94989999999999,0.6412065517241379,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
88,29.0,190.2966,0.6561951724137931,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
89,30.0,194.9659,0.6722962068965518,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
90,31.0,199.80169999999998,0.6889713793103448,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
91,32.0,204.43689999999998,0.7049548275862069,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
92,33.0,208.976,0.7206068965517242,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
93,34.0,213.23839999999998,0.7353048275862069,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
94,35.0,216.2225,0.7455948275862069,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
95,36.0,218.45479999999998,0.7532924137931034,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
96,37.0,220.4489,0.7601686206896552,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
97,38.0,222.5411,0.7673831034482759,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
98,39.0,224.5793,0.7744113793103448,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
99,40.0,226.5612,0.7812455172413794,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
100,41.0,228.6515,0.7884534482758621,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
101,42.0,230.1404,0.7935875862068965,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
102,43.0,231.0541,0.796738275862069,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
103,44.0,232.018,0.8000620689655172,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
104,45.0,233.0541,0.803634827586207,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
105,46.0,234.01209999999998,0.8069382758620689,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
106,47.0,234.90390000000002,0.8100134482758622,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
107,48.0,235.7516,0.8129365517241379,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
108,49.0,236.4029,0.8151824137931034,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
109,50.0,236.7937,0.81653,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
110,51.0,237.2727,0.818181724137931,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
111,52.0,237.7255,0.819743103448276,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
112,53.0,238.1625,0.82125,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
113,54.0,238.5352,0.8225351724137931,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
114,55.0,238.9879,0.8240962068965517,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
115,56.0,239.2765,0.8250913793103448,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
116,57.0,239.457,0.8257137931034483,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
117,58.0,239.7034,0.826563448275862,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
118,59.0,239.9519,0.8274203448275862,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
119,60.0,240.2425,0.8284224137931034,Total infected,10%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
120,1.0,0.0,0.0,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
121,2.0,0.07619999999997162,0.00026275862068955735,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
122,3.0,0.3667000000000371,0.0012644827586208176,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
123,4.0,0.9660999999999831,0.003331379310344769,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
124,5.0,2.0360999999999763,0.007021034482758539,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
125,6.0,3.8676999999999566,0.013336896551723989,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
126,7.0,5.23660000000001,0.01805724137931038,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
127,8.0,6.316700000000026,0.021781724137931124,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
128,9.0,8.525100000000009,0.02939689655172417,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
129,10.0,12.342700000000036,0.04256103448275875,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
130,11.0,17.825800000000015,0.061468275862069016,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
131,12.0,24.879700000000014,0.08579206896551729,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
132,13.0,33.31849999999997,0.11489137931034472,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
133,14.0,39.52290000000005,0.1362858620689657,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
134,15.0,44.04200000000006,0.15186896551724158,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
135,16.0,50.26449999999997,0.17332586206896541,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
136,17.0,58.47890000000001,0.20165137931034485,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
137,18.0,68.17040000000006,0.2350703448275864,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
138,19.0,78.73750000000001,0.2715086206896552,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
139,20.0,89.64330000000001,0.30911482758620695,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
140,21.0,97.54729999999998,0.33636999999999995,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
141,22.0,103.4188,0.3566165517241379,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
142,23.0,110.27659999999997,0.3802641379310344,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
143,24.0,118.20839999999998,0.407615172413793,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
144,25.0,126.84179999999998,0.43738551724137925,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
145,26.0,135.523,0.4673206896551724,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
146,27.0,143.84570000000002,0.49601965517241386,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
147,28.0,149.78159999999997,0.5164882758620689,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
148,29.0,153.98199999999997,0.5309724137931033,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
149,30.0,158.6031,0.5469072413793103,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
150,31.0,163.43290000000002,0.563561724137931,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
151,32.0,168.0741,0.5795658620689654,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
152,33.0,172.3727,0.5943886206896553,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
153,34.0,176.463,0.6084931034482759,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
154,35.0,179.5371,0.6190934482758621,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
155,36.0,181.6291,0.6263072413793104,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
156,37.0,183.6954,0.6334324137931034,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
157,38.0,185.89370000000002,0.6410127586206897,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
158,39.0,187.92969999999997,0.648033448275862,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
159,40.0,189.9237,0.6549093103448276,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
160,41.0,191.9518,0.6619027586206896,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
161,42.0,193.3567,0.6667472413793103,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
162,43.0,194.37290000000002,0.6702513793103448,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
163,44.0,195.4731,0.674045172413793,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
164,45.0,196.64149999999998,0.6780741379310344,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
165,46.0,197.952,0.6825931034482758,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
166,47.0,199.11419999999998,0.6866006896551724,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
167,48.0,200.2406,0.6904848275862069,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
168,49.0,200.9841,0.6930486206896552,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
169,50.0,201.541,0.6949689655172414,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
170,51.0,202.1245,0.6969810344827586,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
171,52.0,202.6232,0.6987006896551724,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
172,53.0,203.0803,0.7002768965517241,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
173,54.0,203.6132,0.7021144827586208,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
174,55.0,204.08639999999997,0.7037462068965517,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
175,56.0,204.37869999999998,0.7047541379310344,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
176,57.0,204.58530000000002,0.705466551724138,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
177,58.0,204.89370000000002,0.7065300000000001,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
178,59.0,205.15640000000002,0.7074358620689656,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
179,60.0,205.3588,0.7081337931034483,Total infected,40%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
180,1.0,0.0,0.0,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
181,2.0,0.05009999999998627,0.00017275862068960783,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
182,3.0,0.24860000000001037,0.0008572413793103805,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
183,4.0,0.7135000000000105,0.0024603448275862428,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
184,5.0,1.6013000000000375,0.0055217241379311634,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
185,6.0,3.0341000000000236,0.01046241379310353,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
186,7.0,4.0301000000000045,0.013896896551724153,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
187,8.0,4.827799999999968,0.01664758620689644,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
188,9.0,6.406799999999976,0.022092413793103366,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
189,10.0,9.094199999999944,0.03135931034482739,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
190,11.0,12.94990000000007,0.04465482758620714,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
191,12.0,17.91790000000003,0.06178586206896563,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
192,13.0,23.733600000000024,0.08184000000000008,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
193,14.0,28.138100000000065,0.09702793103448298,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
194,15.0,31.30079999999998,0.10793379310344821,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
195,16.0,35.953899999999976,0.1239789655172413,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
196,17.0,41.98599999999999,0.14477931034482755,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
197,18.0,49.04820000000001,0.16913172413793107,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
198,19.0,56.96199999999999,0.19642068965517237,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
199,20.0,65.46309999999997,0.22573482758620678,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
200,21.0,71.50910000000002,0.24658310344827591,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
201,22.0,76.01999999999998,0.2621379310344827,Total infected,70%,Vaccine Efficacy 50%,Low,"nov/dic, politica D1
(senza mascherine)"
